0.0,0.0
-43.0,116.0
64.0,76.0
/
1.5,179.0,167.0,
2.5,-115.0,20.0,71.0,27.0,72.0,-16.0,144.0,-20.0,152.0,-60.0,193.0,-61.0,194.0,-95.0,244.0,-97.0,238.0,53.0,-121.0,40.0,
2.5,-198.0,-12.0,-199.0,13.0,-251.0,10.0,-260.0,-75.0,
3.5,-232.0,-103.0,-191.0,-44.0,-170.0,-130.0,
3.5,-230.0,-137.0,-189.0,-155.0,-244.0,-206.0,
0.0,-235.0,-214.0,-185.0,-158.0,-151.0,-244.0,
-1.0,-267.0,42.0,13.0,56.0,-10.0,70.0,-310.0,61.0,-298.0,-99.0,-282.0,-96.0,
0.0,383.0,-89.0,254.0,115.0,384.0,87.0,
0.0,208.0,153.0,126.0,150.0,130.0,208.0,
1.5,47.0,182.0,-44.0,212.0,19.0,221.0,
2.5,249.0,118.0,216.0,149.0,256.0,157.0,
3.5,55.0,180.0,109.0,149.0,87.0,239.0,
3.5,-120.0,125.0,-67.0,192.0,-158.0,181.0,
3.5,-146.0,80.0,-130.0,115.0,-197.0,138.0,
1.5,-62.0,194.0,-49.0,207.0,-98.0,231.0,
